index,psnr_noisy,ssim_noisy,psnr_bilateral,ssim_bilateral
0000,23.4121,0.8233,31.6124,0.9341
0001,20.7201,0.7859,25.9988,0.8902
0002,21.3616,0.8160,26.7137,0.9228
0003,22.3880,0.8563,27.5321,0.9314
0004,20.4496,0.7826,27.4738,0.9195
0005,22.8984,0.8709,30.5296,0.9483
0006,21.1330,0.7007,28.2574,0.8952
0007,20.3440,0.7114,27.9784,0.8760
0008,22.1910,0.8028,29.5244,0.9312
0009,26.2390,0.9395,32.4943,0.9711
0010,25.5346,0.8962,31.6638,0.9556
0011,19.9794,0.7390,26.7118,0.9134
0012,13.6202,0.3086,16.6965,0.4809
0013,17.9309,0.3263,22.4211,0.6175
0014,17.4840,0.3865,21.3986,0.5945
0015,12.8798,0.3076,17.8922,0.5282
0016,13.1214,0.4177,16.8407,0.5320
0017,21.5164,0.7474,28.5168,0.9131
0018,21.0707,0.7808,26.6391,0.8921
0019,25.2902,0.8967,30.7754,0.9625
0020,26.3805,0.8580,34.0703,0.9582
0021,20.4821,0.7131,25.8288,0.8712
0022,21.2521,0.8028,27.1430,0.9196
0023,20.2551,0.7808,25.9371,0.8957
0024,18.9910,0.7402,24.9125,0.8817
0025,21.7647,0.8169,29.9634,0.9315
0026,23.6276,0.8301,31.0493,0.9467
0027,20.9493,0.7369,28.8555,0.8961
0028,23.9069,0.8704,31.3877,0.9562
0029,21.1388,0.8532,26.9801,0.9277
0030,22.5630,0.8250,29.3312,0.9316
0031,16.1743,0.3079,24.7276,0.7432
0032,15.5156,0.2670,18.9231,0.5769
0033,18.7785,0.3878,23.7566,0.6623
0034,19.4707,0.5638,23.7890,0.7383
0035,12.6361,0.2796,17.6697,0.5024
0036,12.6564,0.2575,16.0828,0.4371
0037,28.8532,0.9583,35.4068,0.9862
0038,22.6351,0.8457,28.0190,0.9308
0039,24.9938,0.8748,30.9772,0.9602
0040,27.4979,0.9085,35.0258,0.9660
0041,20.5533,0.7329,26.3620,0.8821
0042,20.8758,0.7397,27.9984,0.9030
0043,21.9011,0.8473,27.8817,0.9305
0044,24.6800,0.9066,29.9671,0.9534
0045,21.7184,0.7794,29.7907,0.9187
0046,23.5492,0.8243,31.0502,0.9455
0047,21.1037,0.7230,28.6569,0.8894
0048,23.1714,0.8510,29.9943,0.9453
0049,20.7731,0.8502,26.8951,0.9286
0050,22.5717,0.8199,28.8756,0.9336
0051,20.3523,0.7859,26.6620,0.9221
0052,7.9393,0.0999,8.5151,0.2702
0053,19.6612,0.3364,25.6500,0.7085
0054,17.2420,0.5050,21.4853,0.6723
0055,12.9419,0.2622,18.0565,0.5124
0056,14.6500,0.3145,18.5515,0.5184
0057,29.3449,0.9593,36.3896,0.9876
0058,21.9136,0.8186,26.9753,0.9197
0059,24.8038,0.8491,30.4453,0.9557
0060,26.2957,0.8914,30.9237,0.9618
0061,21.7327,0.7503,28.5949,0.8971
0062,20.9287,0.7133,28.5362,0.8875
0063,22.1705,0.8360,28.5894,0.9264
0064,23.3357,0.8913,29.6724,0.9548
0065,21.6682,0.7752,29.3857,0.9039
0066,25.7400,0.8995,33.1589,0.9708
