index,psnr_noisy,ssim_noisy,psnr_neural,ssim_neural
0000,23.4121,0.8233,35.5860,0.9506
0001,20.7200,0.7859,33.4866,0.9323
0002,21.3616,0.8160,35.8584,0.9602
0003,22.3880,0.8563,37.0706,0.9632
0004,20.4496,0.7826,32.7745,0.9476
0005,22.8984,0.8709,36.3742,0.9706
0006,21.1330,0.7007,35.3714,0.9408
0007,20.3440,0.7114,34.5192,0.9369
0008,22.1910,0.8028,36.4114,0.9616
0009,26.2390,0.9395,38.6570,0.9847
0010,25.5346,0.8962,38.6907,0.9756
0011,19.9794,0.7390,32.7505,0.9500
0012,13.6202,0.3086,27.1113,0.7077
0013,17.9309,0.3263,31.5642,0.8204
0014,17.4840,0.3865,26.1922,0.7952
0015,12.8798,0.3076,22.3457,0.6441
0016,13.1214,0.4177,23.3768,0.6973
0017,21.5164,0.7474,35.2969,0.9496
0018,21.0707,0.7808,35.1230,0.9486
0019,25.2902,0.8967,39.2893,0.9814
0020,26.3805,0.8580,36.7960,0.9668
0021,20.4821,0.7131,32.2174,0.9100
0022,21.2521,0.8028,35.7497,0.9577
0023,20.2551,0.7808,34.7504,0.9447
0024,18.9910,0.7402,31.5838,0.9370
0025,21.7647,0.8169,34.8850,0.9575
0026,23.6276,0.8301,37.0979,0.9686
0027,20.9493,0.7369,34.8911,0.9482
0028,23.9069,0.8704,37.3290,0.9750
0029,21.1388,0.8532,32.9725,0.9620
0030,22.5630,0.8250,35.4052,0.9591
0031,16.1743,0.3079,30.6887,0.8423
0032,15.5156,0.2670,28.6014,0.7610
0033,18.7785,0.3878,32.2874,0.8486
0034,19.4707,0.5638,27.1710,0.8512
0035,12.6361,0.2796,22.3715,0.6242
0036,12.6564,0.2575,23.6503,0.6549
0037,28.8532,0.9583,39.6429,0.9903
0038,22.6351,0.8457,35.5145,0.9669
0039,24.9938,0.8748,38.8173,0.9797
0040,27.4979,0.9085,37.7088,0.9722
0041,20.5533,0.7329,32.8538,0.9125
0042,20.8758,0.7397,35.3500,0.9472
0043,21.9011,0.8473,35.8487,0.9664
0044,24.6800,0.9066,35.5825,0.9768
0045,21.7184,0.7794,34.5168,0.9506
0046,23.5492,0.8243,37.0673,0.9680
0047,21.1037,0.7230,35.3796,0.9476
0048,23.1714,0.8510,36.8532,0.9710
0049,20.7731,0.8502,32.3154,0.9619
0050,22.5717,0.8199,35.4692,0.9602
0051,20.3523,0.7859,33.1540,0.9564
0052,7.9393,0.0999,8.8767,0.3709
0053,19.6612,0.3364,32.3989,0.8495
0054,17.2420,0.5050,25.4365,0.7911
0055,12.9419,0.2622,22.6597,0.6404
0056,14.6500,0.3145,26.1956,0.7118
0057,29.3449,0.9593,40.1541,0.9906
0058,21.9136,0.8186,34.8241,0.9619
0059,24.8038,0.8491,38.7687,0.9782
0060,26.2957,0.8914,38.3721,0.9713
0061,21.7327,0.7503,34.6089,0.9282
0062,20.9287,0.7133,35.5508,0.9402
0063,22.1705,0.8360,36.1557,0.9650
0064,23.3357,0.8913,34.4385,0.9723
0065,21.6682,0.7752,35.0400,0.9469
0066,25.7400,0.8995,38.2326,0.9819
0067,23.6239,0.8557,37.2378,0.9717
0068,19.8359,0.6804,34.3433,0.9311
0069,23.0206,0.9087,33.8365,0.9754
0070,24.5319,0.8811,36.4138,0.9706
0071,20.5672,0.8076,33.6610,0.9597
0072,16.8302,0.2638,28.9998,0.7944
0073,19.2678,0.3239,32.3380,0.8585
0074,15.6629,0.3503,24.0802,0.7258
0075,12.6691,0.2110,22.8274,0.6238
